"ID","product","time","user","aspect","norm_asp","polarity","norm_pol","sarst","entities","op_hol"
"1.1.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","camera","camera","positive","1","SENTIMENT","amateur","Author"
"1.2.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","pictures","pictures","neutral","0","STATEMENT","","Author"
"1.2.2","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","macro","macro","positive","1","AFFECTIVE-REACTION","","Author"
"1.3.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","size","size","negative","-1","STATEMENT","","Author"
"1.4.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","weight","weight","positive","1","AFFECTIVE-REACTION","day","Author"
"1.5.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","feature","feature","positive","1","AFFECTIVE-REACTION","features","Author"
"1.6.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","manual","manual","positive","1","STATEMENT","manual","Author"
"1.7.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","auto-focus","auto focus","positive","1","AFFECTIVE-REACTION","","Author"
"1.7.2","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","scene modes","scene modes","positive","1","SENTIMENT","","Author"
"1.8.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","rechargeable battery","battery","positive","1","AFFECTIVE-REACTION","","Author"
"1.9.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","memory card","memory card","positive","1","STATEMENT","","Author"
"1.9.2","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","battery","battery","positive","1","AFFECTIVE-REACTION","","Author"
"1.10.1","Nikon Coolpix 4300","2024-08-26T04:19:37.419Z","User-A0QzA","camera","camera","positive","1","AFFECTIVE-REACTION","camera","Author"
"2.1.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","camera","camera","negative","-1","AFFECTIVE-REACTION","","Author"
"2.1.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","experience","experience","positive","1","AFFECTIVE-REACTION","","Author"
"2.1.3","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","level","level","positive","1","AFFECTIVE-REACTION","","Author"
"2.2.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","camera","camera","positive","1","AFFECTIVE-REACTION","production","Author"
"2.2.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","budget","price","positive","1","AFFECTIVE-REACTION","production","Author"
"2.2.3","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","reviews","reviews","positive","1","AFFECTIVE-REACTION","production","Author"
"2.3.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","camera","camera","negative","-1","STATEMENT","","Author"
"2.3.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","use","usability","positive","1","STATEMENT","","Author"
"2.3.3","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","feature","feature","neutral","0","STATEMENT","","Author"
"2.4.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","auto mode","auto mode","positive","1","AFFECTIVE-REACTION","scene","Author"
"2.4.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","scene mode","scene mode","positive","1","AFFECTIVE-REACTION","scene","Author"
"2.5.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","manual mode","manual mode","positive","1","STATEMENT","mode","Author"
"2.5.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","experience","experience","negative","-1","SENTIMENT","mode","Author"
"2.6.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","macro mode","macro mode","positive","1","AFFECTIVE-REACTION","","Author"
"2.6.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","picture quality","pictures","negative","-1","AFFECTIVE-REACTION","","Author"
"2.6.3","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","lens","lens","positive","1","AFFECTIVE-REACTION","","Author"
"2.7.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","battery life","battery","positive","1","STATEMENT","","Author"
"2.7.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","usage","usage","positive","1","AFFECTIVE-REACTION","","Author"
"2.7.3","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","usage","usage","neutral","0","STATEMENT","","Author"
"2.8.1","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","memory card","memory card","positive","1","STATEMENT","images, mode","Author"
"2.8.2","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","storage capacity","storage capacity","neutral","0","STATEMENT","images, mode","Author"
"2.8.3","Nikon Coolpix 4300","2024-07-07T23:31:09.231Z","User-Zjgai","intention","intention","positive","1","SENTIMENT","images, mode","Author"
"3.1.1","Nikon Coolpix 4300","2024-08-06T17:37:19.693Z","User-hKpFC","other","other","positive","1","AFFECTIVE-REACTION","","Author"
"3.2.1","Nikon Coolpix 4300","2024-08-06T17:37:19.693Z","User-hKpFC","other","other","positive","1","AFFECTIVE-REACTION","","Author"
"3.3.1","Nikon Coolpix 4300","2024-08-06T17:37:19.693Z","User-hKpFC","nikon coolpix 4300","camera","positive","1","SENTIMENT","","Author"
