"ID","product","time","user","aspect","norm_asp","polarity","norm_pol","sarst","entities","op_hol"
"1.1.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","camera","camera","positive","1","AFFECTIVE-REACTION","amateur","Author"
"1.2.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","pictures","pictures","positive","1","STATEMENT","","Author"
"1.2.2","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","macro","macro","positive","1","STATEMENT","","Author"
"1.3.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","size","size","positive","1","AFFECTIVE-REACTION","","Author"
"1.4.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","weight","weight","positive","1","AFFECTIVE-REACTION","day","Author"
"1.5.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","feature","feature","positive","1","AFFECTIVE-REACTION","features","Author"
"1.6.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","manual","manual","positive","1","AFFECTIVE-REACTION","manual","Author"
"1.7.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","auto-focus","auto focus","neutral","0","STATEMENT","","Author"
"1.7.2","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","scene modes","scene modes","positive","1","SENTIMENT","","Author"
"1.8.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","rechargeable battery","battery","positive","1","AFFECTIVE-REACTION","","Author"
"1.9.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","memory card","memory card","neutral","0","STATEMENT","","Author"
"1.9.2","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","battery","battery","positive","1","STATEMENT","","Author"
"1.10.1","Nikon Coolpix 4300","2024-05-04T17:37:58.204Z","User-eHIJy","camera","camera","positive","1","AFFECTIVE-REACTION","camera","Author"
"2.1.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","camera","camera","neutral","0","STATEMENT","","Author"
"2.1.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","experience","experience","neutral","0","STATEMENT","","Author"
"2.1.3","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","level","level","neutral","0","STATEMENT","","Author"
"2.2.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","camera","camera","neutral","0","STATEMENT","production","Author"
"2.2.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","budget","price","neutral","0","STATEMENT","production","Author"
"2.2.3","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","reviews","reviews","positive","1","STATEMENT","production","Author"
"2.3.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","camera","camera","positive","1","AFFECTIVE-REACTION","","Author"
"2.3.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","use","usability","positive","1","AFFECTIVE-REACTION","","Author"
"2.3.3","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","feature","feature","positive","1","AFFECTIVE-REACTION","","Author"
"2.4.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","auto mode","auto mode","neutral","0","STATEMENT","scene","Author"
"2.4.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","scene mode","scene mode","positive","1","AFFECTIVE-REACTION","scene","Author"
"2.5.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","manual mode","manual mode","positive","1","AFFECTIVE-REACTION","mode","Author"
"2.5.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","experience","experience","positive","1","STATEMENT","mode","Author"
"2.6.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","macro mode","macro mode","negative","-1","AFFECTIVE-REACTION","","Author"
"2.6.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","picture quality","pictures","neutral","0","STATEMENT","","Author"
"2.6.3","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","lens","lens","positive","1","AFFECTIVE-REACTION","","Author"
"2.7.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","battery life","battery","positive","1","AFFECTIVE-REACTION","","Author"
"2.7.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","usage","usage","neutral","0","STATEMENT","","Author"
"2.7.3","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","usage","usage","positive","1","STATEMENT","","Author"
"2.8.1","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","memory card","memory card","negative","-1","STATEMENT","images, mode","Author"
"2.8.2","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","storage capacity","storage capacity","positive","1","AFFECTIVE-REACTION","images, mode","Author"
"2.8.3","Nikon Coolpix 4300","2024-05-03T19:41:43.596Z","User-kdtxb","intention","intention","positive","1","AFFECTIVE-REACTION","images, mode","Author"
"3.1.1","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","other","other","positive","1","SENTIMENT","","Author"
"3.2.1","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","other","other","neutral","0","STATEMENT","","Author"
"3.3.1","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","nikon coolpix 4300","camera","positive","1","STATEMENT","","Author"
"3.4.1","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","camera","camera","positive","1","SENTIMENT","camera","Author"
"3.4.2","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","use","usability","positive","1","AFFECTIVE-REACTION","camera","Author"
"3.5.1","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","features","features","positive","1","STATEMENT","tune","Others"
"3.6.1","Nikon Coolpix 4300","2024-05-26T07:10:39.056Z","User-Xy0b3","camera","camera","positive","1","AFFECTIVE-REACTION","power, dollars, people","Author"
"4.1.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","nikon coolpix 4300","camera","neutral","0","STATEMENT","","Author"
"4.2.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","other","other","neutral","0","STATEMENT","","Author"
"4.3.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","other","other","neutral","0","STATEMENT","","Author"
"4.4.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","price","price","neutral","0","STATEMENT","","Author"
"4.5.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","other","other","positive","1","AFFECTIVE-REACTION","canon","Author"
"4.6.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","picture quality","pictures","positive","1","AFFECTIVE-REACTION","","Author"
"4.7.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","transfer","transfer","negative","-1","AFFECTIVE-REACTION","","Author"
"4.8.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","card reader","card reader","negative","-1","SENTIMENT","days","Author"
"4.9.1","Nikon Coolpix 4300","2024-05-19T01:55:08.808Z","User-A5omk","card reader","card reader","positive","1","STATEMENT","","Author"
