"ID","product","time","user","aspect","norm_asp","polarity","norm_pol","sarst"
"1.1.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","camera","camera","positive","1","AFFECTIVE-REACTION"
"1.2.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","pictures","pictures","positive","1","STATEMENT"
"1.2.2","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","macro","macro","positive","1","STATEMENT"
"1.3.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","size","size","positive","1","AFFECTIVE-REACTION"
"1.4.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","weight","weight","positive","1","AFFECTIVE-REACTION"
"1.5.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","feature","feature","positive","1","AFFECTIVE-REACTION"
"1.6.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","manual","manual","positive","1","AFFECTIVE-REACTION"
"1.7.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","auto-focus","auto focus","neutral","0","STATEMENT"
"1.7.2","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","scene modes","scene modes","positive","1","SENTIMENT"
"1.8.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","rechargeable battery","battery","positive","1","AFFECTIVE-REACTION"
"1.9.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","memory card","memory card","neutral","0","STATEMENT"
"1.9.2","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","battery","battery","positive","1","STATEMENT"
"1.10.1","Nikon Coolpix 4300","2024-05-25T11:45:17.461Z","User-0iEcf","camera","camera","positive","1","AFFECTIVE-REACTION"
"2.1.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","camera","camera","neutral","0","STATEMENT"
"2.1.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","experience","experience","neutral","0","STATEMENT"
"2.1.3","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","level","level","neutral","0","STATEMENT"
"2.2.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","camera","camera","neutral","0","STATEMENT"
"2.2.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","budget","price","neutral","0","STATEMENT"
"2.2.3","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","reviews","reviews","positive","1","STATEMENT"
"2.3.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","camera","camera","positive","1","AFFECTIVE-REACTION"
"2.3.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","use","usability","positive","1","AFFECTIVE-REACTION"
"2.3.3","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","feature","feature","positive","1","AFFECTIVE-REACTION"
"2.4.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","auto mode","auto mode","neutral","0","STATEMENT"
"2.4.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","scene mode","scene mode","positive","1","AFFECTIVE-REACTION"
"2.5.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","manual mode","manual mode","positive","1","AFFECTIVE-REACTION"
"2.5.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","experience","experience","positive","1","STATEMENT"
"2.6.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","macro mode","macro mode","negative","-1","AFFECTIVE-REACTION"
"2.6.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","picture quality","pictures","neutral","0","STATEMENT"
"2.6.3","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","lens","lens","positive","1","AFFECTIVE-REACTION"
"2.7.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","battery life","battery","positive","1","AFFECTIVE-REACTION"
"2.7.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","usage","usage","neutral","0","STATEMENT"
"2.7.3","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","usage","usage","positive","1","STATEMENT"
"2.8.1","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","memory card","memory card","negative","-1","STATEMENT"
"2.8.2","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","storage capacity","storage capacity","positive","1","AFFECTIVE-REACTION"
"2.8.3","Nikon Coolpix 4300","2024-05-02T02:27:30.057Z","User-KLtlu","intention","intention","positive","1","AFFECTIVE-REACTION"
"3.1.1","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","other","other","positive","1","SENTIMENT"
"3.2.1","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","other","other","neutral","0","STATEMENT"
"3.3.1","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","nikon coolpix 4300","camera","positive","1","STATEMENT"
"3.4.1","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","camera","camera","positive","1","SENTIMENT"
"3.4.2","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","use","usability","positive","1","AFFECTIVE-REACTION"
"3.5.1","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","features","features","positive","1","STATEMENT"
"3.6.1","Nikon Coolpix 4300","2024-05-07T09:50:53.928Z","User-chmhr","camera","camera","positive","1","AFFECTIVE-REACTION"
"4.1.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","nikon coolpix 4300","camera","neutral","0","STATEMENT"
"4.2.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","other","other","neutral","0","STATEMENT"
"4.3.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","other","other","neutral","0","STATEMENT"
"4.4.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","price","price","neutral","0","STATEMENT"
"4.5.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","other","other","positive","1","AFFECTIVE-REACTION"
"4.6.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","picture quality","pictures","positive","1","AFFECTIVE-REACTION"
"4.7.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","transfer","transfer","negative","-1","AFFECTIVE-REACTION"
"4.8.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","card reader","card reader","negative","-1","SENTIMENT"
"4.9.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","card reader","card reader","positive","1","STATEMENT"
"4.10.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","speed","speed","negative","-1","STATEMENT"
"4.11.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","memory chip","memory card","negative","-1","STATEMENT"
"4.12.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","memory card","memory card","positive","1","STATEMENT"
"4.13.1","Nikon Coolpix 4300","2024-05-20T05:46:11.369Z","User-QX6DW","battery","battery","negative","-1","STATEMENT"
"5.1.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","camera","camera","positive","1","STATEMENT"
"5.2.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","camera","camera","negative","-1","STATEMENT"
"5.3.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","auto mode","auto mode","negative","-1","STATEMENT"
"5.4.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","autofocussing","auto focus","negative","-1","STATEMENT"
"5.5.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","date; time","date; time","negative","-1","STATEMENT"
"5.6.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","date; time","date; time","negative","-1","STATEMENT"
"5.7.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","date; time","date; time","negative","-1","STATEMENT"
"5.8.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","image quality","pictures","negative","-1","AFFECTIVE-REACTION"
"5.9.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","indoor image","indoor image","negative","-1","STATEMENT"
"5.10.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","flash","flash","negative","-1","STATEMENT"
"5.11.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","lens cap","lens","negative","-1","AFFECTIVE-REACTION"
"5.12.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","memory card","memory card","negative","-1","STATEMENT"
"5.13.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","picture quality","pictures","neutral","0","STATEMENT"
"5.14.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","movie clips","movie clips","negative","-1","AFFECTIVE-REACTION"
"5.15.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","camera","camera","positive","1","AFFECTIVE-REACTION"
"5.15.2","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","picture","pictures","positive","1","AFFECTIVE-REACTION"
"5.16.1","Nikon Coolpix 4300","2024-05-15T04:44:33.768Z","User-7lget","picture quality","pictures","positive","1","STATEMENT"
"6.1.1","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","menu dial knob","menu","negative","-1","STATEMENT"
"6.2.1","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","menu dial knob","menu","negative","-1","AFFECTIVE-REACTION"
"6.3.1","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","servicing","service","negative","-1","AFFECTIVE-REACTION"
"6.4.1","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","service","service","negative","-1","STATEMENT"
"6.5.1","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","service","service","negative","-1","STATEMENT"
"6.6.1","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","camera","camera","positive","1","AFFECTIVE-REACTION"
"6.6.2","Nikon Coolpix 4300","2024-05-13T02:18:51.436Z","User-qXFJW","customer service","service","negative","-1","STATEMENT"
"7.1.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","system error","system error","negative","-1","AFFECTIVE-REACTION"
"7.2.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","camera","camera","negative","-1","AFFECTIVE-REACTION"
"7.3.1","Nikon Coolpix 4300","2024-05-15T11:41:19.294Z","User-BHboy","lens cap design","lens","negative","-1","AFFECTIVE-REACTION"
